醫事機構代碼,醫事機構名稱,醫事機構地址,經度,緯度,醫事機構電話,廠牌項目,快篩試劑截至目前結餘存貨數量,來源資料時間,備註
2334110013,宜蘭縣大同鄉衛生所,宜蘭縣大同鄉崙埤村朝陽４０號,121.6088,24.67785,(03)9801175,羅氏家用新冠病毒抗原自我檢測套組,212,2022/10/25 10:13:02,防疫快篩試劑販賣時間為週一到週五上午10:50-11:50 （或售罄為止），10:40開始發放號碼牌，詳細事項請至本所網站查詢。
2335110017,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路１７號,121,24.59733,(037)822024,羅氏家用新冠病毒抗原自我檢測套組,157,2022/10/25 10:13:02,快篩試劑販賣時段:週一至週五上午8:00~下午5:00
2335140015,苗栗縣西湖鄉衛生所,苗栗縣西湖鄉龍洞村１鄰１６號,120.7577,24.5578,(037)921211,羅氏家用新冠病毒抗原自我檢測套組,172,2022/10/25 10:13:02,本所已無販售口罩
2335150011,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村１４鄰８－２號,120.8643,24.63672,(037)542755,羅氏家用新冠病毒抗原自我檢測套組,419,2022/10/25 10:13:02,實名制快篩試劑販賣時段：周一至周五08:20-12:00；週六、日及國定假日無販售。
2335160017,苗栗縣三灣鄉衛生所,苗栗縣三灣鄉三灣村親民路１７號,120.9566,24.65284,(037)831140,羅氏家用新冠病毒抗原自我檢測套組,284,2022/10/25 10:13:02,快篩試劑販售時間：星期一至星期五08：30~15：30；星期六日及國定假日無販售
2335170013,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村１３０之６號,120.9201,24.53961,(037)931309,羅氏家用新冠病毒抗原自我檢測套組,389,2022/10/25 10:13:02,無
2335180019,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村２鄰７２號,120.9083,24.44722,(037)941054,羅氏家用新冠病毒抗原自我檢測套組,276,2022/10/25 10:13:02,口罩販賣時段：星期一~五：8:30~12：00。
2336210034,臺中市和平區梨山衛生所,臺中市和平區中正路１２號１樓、６８號１樓,121.2592,24.25678,(04)25989540,羅氏家用新冠病毒抗原自我檢測套組,71,2022/10/25 10:13:02,提供24小時急診待診服務，快篩販售時段為周一至五0900-1200，六日及國定假日為0900-1100
2338070010,南投縣鹿谷鄉衛生所,南投縣鹿谷鄉中正路二段２０號,120.7542,23.74488,(049)2752002,羅氏家用新冠病毒抗原自我檢測套組,35,2022/10/25 10:13:02,快篩試劑販售時間 上班日（星期一至星期五）14:00~16:00
2338080016,南投縣中寮鄉衛生所,南投縣中寮鄉永平村永昌街１０２號,120.7657,23.881,(049)2691404,羅氏家用新冠病毒抗原自我檢測套組,242,2022/10/25 10:13:02,休診。口罩販售時間：每天8:00-10:00（發號碼牌）
2338120015,南投縣信義鄉衛生所,南投縣信義鄉明德村玉山路４５號,120.8547,23.69653,(049)2791148,羅氏家用新冠病毒抗原自我檢測套組,149,2022/10/25 10:13:02,快篩試劑販售時間星期一至星期五上午09：00-11：00，現場排隊發售，國定假日不販賣。增加販售點請至本所網站參閱。
2340170016,嘉義縣大埔鄉衛生所,嘉義縣大埔鄉大埔村５３－１號,120.5928,23.29397,(05)2521214,羅氏家用新冠病毒抗原自我檢測套組,58,2022/10/25 10:13:02,無
2340180012,嘉義縣阿里山鄉衛生所,嘉義縣阿里山鄉樂野村３鄰９７－２號,120.7019,23.4666,(05)2561573,羅氏家用新冠病毒抗原自我檢測套組,212,2022/10/25 10:13:02,阿里山遊樂區
2341120010,臺南市下營區衛生所,臺南市下營區營前里中山路二段１３７號,120.2624,23.23154,(06)6892149,羅氏家用新冠病毒抗原自我檢測套組,525,2022/10/25 10:13:02,家用快篩試劑販賣時間為每周一至週五下午4點到五點（國定假日及假日停止販售），請民眾攜帶健保卡及自備零錢購買。
2341220015,臺南市山上區衛生所,臺南市山上區山上里３５－２號,120.3582,23.09859,(06)5781013,羅氏家用新冠病毒抗原自我檢測套組,163,2022/10/25 10:13:02,防疫快篩販售時間每週一、三、四、五為14點至15點，週二16點至17點，週六、日及例假日不販售
2341240017,臺南市楠西區衛生所,臺南市楠西區楠西里中正路２２６號,120.4859,23.17477,(06)5751006,羅氏家用新冠病毒抗原自我檢測套組,282,2022/10/25 10:13:02,門診看診時間為本月第四週W5早上8:30-11:30及W2及W4下午1:30-4:30；家用快篩試劑販售時間為W1-5早上10:30-12:00
2341250013,臺南市南化區衛生所,臺南市南化區南化里２２６－１號,120.4793,23.0444,(06)5771139,羅氏家用新冠病毒抗原自我檢測套組,55,2022/10/25 10:13:02,實名制快篩試劑販售暨0-6歲公費領用時間:周一到周五下午2點30分-4點整，2點20分開始發放號碼牌售完提早結束。
2341260019,臺南市左鎮區衛生所,臺南市左鎮區中正里１７２之１５號,120.4099,23.05631,(06)5731114,羅氏家用新冠病毒抗原自我檢測套組,174,2022/10/25 10:13:02,快篩試劑販賣時間:星期一至五，上午9-11時
2341300018,臺南市龍崎區衛生所,臺南市龍崎區崎頂里新市子１５８號,120.3618,22.96521,(06)5941397,羅氏家用新冠病毒抗原自我檢測套組,119,2022/10/25 10:13:02,無
2342130010,高雄市田寮區衛生所,高雄市田寮區南安里崗北路３２號,120.3594,22.87301,(07)6361504,羅氏家用新冠病毒抗原自我檢測套組,141,2022/10/25 10:13:02,巡迴醫療:每星期一、四下午及每月第一個有上班的星期三下午巡迴醫療
2342180010,高雄市永安區衛生所,高雄市永安區永安路２６號,120.2254,22.81879,(07)6912015,羅氏家用新冠病毒抗原自我檢測套組,90,2022/10/25 10:13:02,本所防疫快篩試劑販賣時間為週一到週五上班日 9:00-11:00 （或售罄為止），現場叫號不到，視同放棄
2342230015,高雄市杉林區衛生所,高雄市杉林區上平里山仙路９３巷２號,120.5386,22.97693,(07)6771319,羅氏家用新冠病毒抗原自我檢測套組,237,2022/10/25 10:13:02,快篩試劑販售時間為週一至週五上午09:00~11:00（當試劑數量售完或超過本所販售時間，則停止當日銷售）
2342250017,高雄市茂林區衛生所,高雄市茂林區茂林里茂林巷８－４號,120.6641,22.88641,(07)6801046,羅氏家用新冠病毒抗原自我檢測套組,525,2022/10/25 10:13:02,夜間急診，請先撥電話07-6801046
2342260013,高雄市桃源區衛生所,高雄市桃源區桃源里南進巷１８８－１號,120.7642,23.15845,(07)6861126,羅氏家用新冠病毒抗原自我檢測套組,186,2022/10/25 10:13:02,IDS提供24小時服務
2342270019,高雄市那瑪夏區衛生所,高雄市那瑪夏區瑪雅里６鄰平和巷２５２號,120.7024,23.24708,(07)6701142,羅氏家用新冠病毒抗原自我檢測套組,264,2022/10/25 10:13:02,春節期間正常門診
2343140010,屏東縣竹田鄉衛生所,屏東縣竹田鄉竹田村中山路２５號,120.5431,22.58637,(08)7710445,羅氏家用新冠病毒抗原自我檢測套組,169,2022/10/25 10:13:02,1110820起  星期六 日 國定假日 停止販售快篩試劑    星期一至星期五08:00-12:00  13:30-17:30
2343210017,屏東縣佳冬鄉衛生所,屏東縣佳冬鄉六根村佳和路８７－１號,120.5496,22.41426,(08)8662018,羅氏家用新冠病毒抗原自我檢測套組,220,2022/10/25 10:13:02,販賣快篩試劑時間:週一至周五08:00-11:30
2343230019,屏東縣車城鄉衛生所,屏東縣車城鄉福安村福安路２之３０號,120.7125,22.06986,(08)8821300,羅氏家用新冠病毒抗原自我檢測套組,86,2022/10/25 10:13:02,販賣快篩試劑時間:週一~週五10:00至12:00，
2343240015,屏東縣滿州鄉衛生所,屏東縣滿州鄉滿州村中山路３１號,120.8381,22.01898,(08)8801279,羅氏家用新冠病毒抗原自我檢測套組,233,2022/10/25 10:13:02,販賣快篩試劑時間:週一~週五8:30-11:30，14:00-16:00
2343250011,屏東縣枋山鄉衛生所,屏東縣枋山鄉枋山村枋山路９８號,120.6527,22.26464,(08)8761150,羅氏家用新冠病毒抗原自我檢測套組,254,2022/10/25 10:13:02,每周一~五上班時段（中午12點~1點30分休息時間），提供快篩試劑販售及兌換。
2343260017,屏東縣三地門鄉衛生所,屏東縣三地門鄉三地村行政街４號,120.653,22.71477,(08)7991284,羅氏家用新冠病毒抗原自我檢測套組,191,2022/10/25 10:13:02,假日及夜間提供待診；快篩販售時間每日上午0900~1200；週一到五下午1400～1700賣完為止
2343270013,屏東縣霧台鄉衛生所,屏東縣霧台鄉霧台村神山巷６８號,120.7261,22.74989,(08)7902232,羅氏家用新冠病毒抗原自我檢測套組,108,2022/10/25 10:13:02,快篩試劑星期一至五 8:30-12:00 13:00-17:00
2343280019,屏東縣瑪家鄉衛生所,屏東縣瑪家鄉北葉村風景巷８６號,120.6496,22.70801,(08)7991164,羅氏家用新冠病毒抗原自我檢測套組,216,2022/10/25 10:13:02,快篩試劑販售時間:星期一至星期日8:30-11:30 13:00-16:00
2343290015,屏東縣泰武鄉衛生所,屏東縣泰武鄉佳平村１７９號,120.6327,22.59212,(08)7832059,羅氏家用新冠病毒抗原自我檢測套組,208,2022/10/25 10:13:02,10／10門診照常販賣快篩試劑時間：週一～週五８：３０至１６：００
2343300016,屏東縣來義鄉衛生所,屏東縣來義鄉古樓村中正路９０號,120.632,22.52584,(08)7850103,羅氏家用新冠病毒抗原自我檢測套組,168,2022/10/25 10:13:02,販售及領用免費快篩試劑時間:週一至週五早上8:00--12:00，下午2:00--4:00
2343310012,屏東縣春日鄉衛生所,屏東縣春日鄉春日村春日路１７６號,120.6251,22.37008,(08)8780358,羅氏家用新冠病毒抗原自我檢測套組,126,2022/10/25 10:13:02,販賣快篩試劑時間 週一至週五時段為08:30-12:00，下午14:00-17:00售完為止 週六日不販售
2343320018,屏東縣獅子鄉衛生所,屏東縣獅子鄉楓林村楓林二巷３１號,120.7057,22.18402,(08)8771324,羅氏家用新冠病毒抗原自我檢測套組,81,2022/10/25 10:13:02,販售快篩試劑時間 :週一至週五0900~1200，1400~1700；假日0900~1200
2343330014,屏東縣牡丹鄉衛生所,屏東縣牡丹鄉石門村１９號,120.7469,22.10105,(08)8831013,羅氏家用新冠病毒抗原自我檢測套組,159,2022/10/25 10:13:02,早上9:00 實名制快篩販售（售完為止）
2344030013,澎湖縣白沙鄉衛生所,澎湖縣白沙鄉赤崁村３５９號,119.5982,23.66669,(06)9931044,羅氏家用新冠病毒抗原自我檢測套組,80,2022/10/25 10:13:02,星期日上午門診看診（每月最後一個星期日休診）； 星期五上午巡迴醫療（中屯村，講美村，通樑村）
2344030022,澎湖縣白沙鄉鳥嶼衛生所,澎湖縣白沙鄉鳥嶼村漁港新村３號,119.6599,23.66008,(06)9916092,羅氏家用新冠病毒抗原自我檢測套組,98,2022/10/25 10:13:02,非上班時間提供急診服務
2344030031,澎湖縣白沙鄉吉貝衛生所,澎湖縣白沙鄉吉貝村８－１３號,119.6138,23.74056,(06)9911430,羅氏家用新冠病毒抗原自我檢測套組,139,2022/10/25 10:13:02,無
2344050015,澎湖縣望安鄉衛生所,澎湖縣望安鄉西安村３６－７號,119.4972,23.36161,(06)9991036,羅氏家用新冠病毒抗原自我檢測套組,51,2022/10/25 10:13:02,夜間急診。快篩試劑販售時間為:每日08:00-12:00、13:30-17:30售完為止，如有餘數為離島未售出（東嶼坪、花嶼）。
2344050024,澎湖縣望安鄉將軍衛生所,澎湖縣望安鄉將軍村１２鄰將軍澳１之３號,119.5216,23.3615,(06)9902066,羅氏家用新冠病毒抗原自我檢測套組,77,2022/10/25 10:13:02,24小時急診
2344060011,澎湖縣七美鄉衛生所,澎湖縣七美鄉中和村埔內５４號,119.431,23.2041,(06)9971005,羅氏家用新冠病毒抗原自我檢測套組,372,2022/10/25 10:13:02,無
2345080017,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,121.5215,23.60195,(03)8358141,羅氏家用新冠病毒抗原自我檢測套組,82,2022/10/25 10:13:02,*本院口罩每天販售，時間自上午8點至晚上9點  *本院週一至週五上下午皆有門診，星期六隔週提供門診，及24小時急診。
2345100014,花蓮縣富里鄉衛生所,花蓮縣富里鄉富里村中山路２０３號,121.2491,23.17847,(03)8831029,羅氏家用新冠病毒抗原自我檢測套組,304,2022/10/25 10:13:02,*內科:每週二下午東里玉蓮寺巡診 **牙科:每週二至卓溪醫療站***新冠肺炎快篩試劑販賣時間8:30開始售完為止
2345110010,花蓮縣秀林鄉衛生所,花蓮縣秀林鄉秀林村１２鄰秀林路８８號,121.6334,24.1269,(03)8612122,羅氏家用新冠病毒抗原自我檢測套組,143,2022/10/25 10:13:02,快篩試劑代售時間上班日上午8:10至12時止
2345120016,花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村１鄰１６號,121.4092,23.71558,(03)8751651,羅氏家用新冠病毒抗原自我檢測套組,124,2022/10/25 10:13:02,快篩試劑代售時間：週一至週五下午2點至下午4點，販售為止。
2345130012,花蓮縣卓溪鄉衛生所,花蓮縣卓溪鄉卓溪村中正路６５號,121.3033,23.33294,(03)8882592,羅氏家用新冠病毒抗原自我檢測套組,77,2022/10/25 10:13:02,快篩試劑代售時間：週一至週五上午8：30-11：00（售完即結束），另巡迴醫療時段少量販售。
2346020015,台東縣成功鎮衛生所,臺東縣成功鎮忠仁里中山東路６４號,121.3789,23.10003,(089)851419,羅氏家用新冠病毒抗原自我檢測套組,153,2022/10/25 10:13:02,5月7日上午8:30發號碼牌9:00開賣
2346030011,臺東縣關山鎮衛生所,臺東縣關山鎮中福里中華路７８號,121.1639,23.04957,(089)811042,羅氏家用新冠病毒抗原自我檢測套組,202,2022/10/25 10:13:02,週三上午幼兒預防接種、週二上午及週四上午遠距醫療門診
2346040017,台東縣卑南鄉衛生所,臺東縣卑南鄉太平村和平路１３２號,121.0881,22.78207,(089)382042,羅氏家用新冠病毒抗原自我檢測套組,109,2022/10/25 10:13:02,無
2346050013,臺東縣大武鄉衛生所,臺東縣大武鄉大武村復興路２－２號,120.9078,22.36414,(089)791143,羅氏家用新冠病毒抗原自我檢測套組,68,2022/10/25 10:13:02,24小時急診服務（急診無販售快篩試劑）
2346070015,臺東縣東河鄉衛生所,臺東縣東河鄉東河村南東河路１０鄰３００號,121.3031,22.96846,(089)896289,羅氏家用新冠病毒抗原自我檢測套組,187,2022/10/25 10:13:02,快篩試劑販售時間:◆平日（星期一三四五）上午8:30-10:30時販售，星期二下午13-15時販售售完為止。
2346110014,台東縣綠島鄉衛生所,臺東縣綠島鄉中寮村１－１號,121.4696,22.67319,(089)672511,羅氏家用新冠病毒抗原自我檢測套組,125,2022/10/25 10:13:02,家用快篩實名制，販售時段為08:30至12:00（周一至周五，遇國定假日暫停）
2346120010,臺東縣延平鄉衛生所,臺東縣延平鄉桃源村昇平路１１號,121.0855,22.90217,(089)561358,羅氏家用新冠病毒抗原自我檢測套組,67,2022/10/25 10:13:02,星期一至星期五上午8:30-11:00下午13:30-16:00販售快篩試劑，遇國定假日休息
2346130016,臺東縣海端鄉衛生所,臺東縣海端鄉海端村３鄰２９號,121.1767,23.10094,(089)931391,羅氏家用新冠病毒抗原自我檢測套組,380,2022/10/25 10:13:02,星期一至星期五家用快篩試劑販售時間上午8點~9點（售完為止）
2346140012,臺東縣達仁鄉衛生所,臺東縣達仁鄉安朔村復興路１２２號,120.8836,22.29488,(089)702209,羅氏家用新冠病毒抗原自我檢測套組,12,2022/10/25 10:13:02,9／9休診
2346150018,台東縣金峰鄉衛生所,臺東縣金峰鄉賓茂村１鄰１４號,120.9606,22.53248,(089)772201,羅氏家用新冠病毒抗原自我檢測套組,120,2022/10/25 10:13:02,快篩試劑販售時間為星期一至五，8:30~17:00
2346160014,台東縣蘭嶼鄉衛生所,臺東縣蘭嶼鄉紅頭村３６號,121.5546,22.02493,(089)732575,羅氏家用新冠病毒抗原自我檢測套組,73,2022/10/25 10:13:02,販售快篩時間 星期一至星期五 8:30~12:00 13:30~17:30
2390040518,金門縣金寧鄉衛生所,金門縣金寧鄉盤山村仁愛新屯２之１號,118.3374,24.44479,(082)325735,羅氏家用新冠病毒抗原自我檢測套組,177,2022/10/25 10:13:02,購買快篩實名制週一至週五上班日上午8:00開始依序販售，售完即止
2390050032,金門縣烈嶼鄉衛生所,金門縣烈嶼鄉西口村西方６－５號,118.2395,24.43519,(082)362078,羅氏家用新冠病毒抗原自我檢測套組,162,2022/10/25 10:13:02,門診時間:周一至周五上午8點至12點 中秋節休診
2391020010,連江縣北竿鄉衛生所,連江縣北竿鄉塘岐村２８１－６號,119.9991,26.22617,(083)655592,羅氏家用新冠病毒抗原自我檢測套組,100,2022/10/25 10:13:02,新冠快篩試劑販售於週一至周六每日上午08:30-12:00開放購買。
2391030016,連江縣莒光鄉西莒衛生所,連江縣莒光鄉青帆村１４－１號,119.9331,25.97157,(083)689122,羅氏家用新冠病毒抗原自我檢測套組,408,2022/10/25 10:13:02,防疫口罩星期一至五09:00-17:00、（六）09:00-12:00現場購買
2391030026,連江縣莒光鄉東莒衛生所,連江縣莒光鄉大坪村３０－１號,119.9731,25.96113,(083)689038,羅氏家用新冠病毒抗原自我檢測套組,400,2022/10/25 10:13:02,防疫口罩星期一至星期日上午10:00-12:00收取健保卡，下午3:30至本所領取口罩。
2391040012,連江縣東引鄉衛生所,連江縣東引鄉中柳村１２３號,120.4904,26.36701,(083)677206,羅氏家用新冠病毒抗原自我檢測套組,83,2022/10/25 10:13:02,防疫口罩每日08:30-09:30現場購買
5901010076,榮星藥局,臺北市松山區南京東路４段１３３巷５弄１號,121.5552,25.05214,(02)27124696,羅氏家用新冠病毒抗原自我檢測套組,104,2022/10/25 10:13:02,無
5901010094,明一藥局,臺北市松山區南京東路５段５９巷２８弄２５號１樓,121.5582,25.0527,(02)27691654,羅氏家用新冠病毒抗原自我檢測套組,46,2022/10/25 10:13:02,AM10: ~~PM9:00
5901010165,傑安藥局,臺北市松山區八德路２段４３７巷７弄８號１樓,121.5473,25.04914,(02)27524155,羅氏家用新冠病毒抗原自我檢測套組,101,2022/10/25 10:13:02,9:30開始發號碼牌
5901010174,仁弘藥局,臺北市松山區民生東路３段１１３巷２５弄６號１樓,121.5466,25.05948,(02)27136764,羅氏家用新冠病毒抗原自我檢測套組,158,2022/10/25 10:13:02,早上九點開始發放快篩.
5901010192,益華藥局,臺北市松山區民生東路５段１３８巷６號,121.5615,25.05827,(02)27624898,羅氏家用新冠病毒抗原自我檢測套組,125,2022/10/25 10:13:02,無
5901010272,德靈藥局,臺北市松山區富錦街５４８號,121.5667,25.06178,(02)27646998,羅氏家用新冠病毒抗原自我檢測套組,43,2022/10/25 10:13:02,週日休
5901010290,健全藥局,臺北市松山區民權東路３段１０３巷２０號,121.5449,25.06327,(02)27128293,羅氏家用新冠病毒抗原自我檢測套組,93,2022/10/25 10:13:02,無
5901010496,瑞昌大藥局,臺北市松山區民權東路３段１０３巷１０號,121.5449,25.06298,(02)27151881,羅氏家用新冠病毒抗原自我檢測套組,142,2022/10/25 10:13:02,無
5901010576,合生藥局,臺北市松山區南京東路５段１２３巷４５號１樓,121.5607,25.05364,(02)27602932,羅氏家用新冠病毒抗原自我檢測套組,434,2022/10/25 10:13:02,無
5901011975,萬泰藥局,臺北市松山區敦化北路２２２巷３８號,121.5471,25.05994,(02)27135891,羅氏家用新冠病毒抗原自我檢測套組,195,2022/10/25 10:13:02,每日早上9.00販售快篩試劑
5901012203,博荃藥局,臺北市松山區敦化北路４巷５１號,121.5447,25.05006,(02)27316736,羅氏家用新冠病毒抗原自我檢測套組,80,2022/10/25 10:13:02,防疫快篩營業時間攜帶健保皆可銷售，星期日及連續假期公休 !
5901012409,家音藥局,臺北市松山區民生東路５段７３號,121.5585,25.05871,(02)37652080,羅氏家用新冠病毒抗原自我檢測套組,120,2022/10/25 10:13:02,實名制快篩販售時段公告，請追蹤美康健保藥局 家音店 FB粉絲頁，謝謝~
5901012516,惠登藥局,臺北市松山區民生東路３段１３０巷３４號,121.5461,25.0562,(02)25472432,羅氏家用新冠病毒抗原自我檢測套組,93,2022/10/25 10:13:02,實名制快篩週一到週五下午2點販售
5901012561,松田藥局,臺北市松山區延吉街９－６號,121.5536,25.04701,(02)25798005,羅氏家用新冠病毒抗原自我檢測套組,170,2022/10/25 10:13:02,每日上午9:30開始實名制快篩販售
5901012570,予志藥局,臺北市松山區富錦街５２１號,121.5649,25.06119,(02)27623522,羅氏家用新冠病毒抗原自我檢測套組,97,2022/10/25 10:13:02,實名制快篩每天下午2點起開始販售，不分單雙號
5901012598,婕登藥局,臺北市松山區八德路４段６９９號,121.5766,25.05021,(02)27482893,羅氏家用新冠病毒抗原自我檢測套組,59,2022/10/25 10:13:02,無
5901012632,晨安藥局,臺北市松山區八德路３段１５５巷２０弄２號,121.5553,25.04914,(02)25798460,羅氏家用新冠病毒抗原自我檢測套組,48,2022/10/25 10:13:02,快篩實名制販售時間:平日下午3點-假日下午1點；現場販售，不抽號碼牌。端午連假，不販售快篩。
5901012650,銘德藥局,臺北市松山區八德路２段３６６巷２８號,121.5459,25.04724,(02)27511833,羅氏家用新冠病毒抗原自我檢測套組,67,2022/10/25 10:13:02,實名制快篩早上十點開始販售，星期天販售時間另行公告
5901012712,立康大藥局,臺北市松山區八德路四段２－１號,121.5581,25.04812,(02)27471749,羅氏家用新冠病毒抗原自我檢測套組,281,2022/10/25 10:13:02,快篩時間：全時段供應，不分單雙號
5901012749,躍獅松和藥局,臺北市松山區八德路四段６６６－１號,121.5761,25.04979,(02)27492569,羅氏家用新冠病毒抗原自我檢測套組,101,2022/10/25 10:13:02,實名制快篩販售時段，每日下午4點販售，售完為止
5901012758,京東藥局,臺北市松山區南京東路五段２７２號,121.5669,25.05114,(02)27679503,羅氏家用新冠病毒抗原自我檢測套組,262,2022/10/25 10:13:02,依每日到貨狀況， 每日下午1點發放實名制快篩
5901012767,晨新藥局,臺北市松山區八德路４段９１巷１－１號,121.5608,25.04894,(02)27422951,羅氏家用新冠病毒抗原自我檢測套組,109,2022/10/25 10:13:02,無
5901012918,躍獅京華藥局,臺北市松山區南京東路５段７１號,121.5596,25.05172,(02)27666508,羅氏家用新冠病毒抗原自我檢測套組,381,2022/10/25 10:13:02,實名制快篩販售時間：每日營業時間09:00-22:00皆有販售
5901012963,綠之家藥局,臺北市松山區延壽街４２８號,121.5562,25.0562,(02)25289595,羅氏家用新冠病毒抗原自我檢測套組,180,2022/10/25 10:13:02,禮拜日不販售快篩
5901013095,康采藥局,臺北市松山區南京東路５段２９１巷１７－２號,121.5663,25.05236,(02)27670271,羅氏家用新冠病毒抗原自我檢測套組,2285,2022/10/25 10:13:02,10／9和10／23公休
5901013148,唯康藥局,臺北市松山區八德路３段２１１號,121.5566,25.0482,(02)25775000,羅氏家用新冠病毒抗原自我檢測套組,121,2022/10/25 10:13:02,無
5901013175,台北長庚維康藥局,臺北市松山區敦化北路１９９巷２弄５號１樓,121.55,25.05563,(02)27199386,羅氏家用新冠病毒抗原自我檢測套組,45,2022/10/25 10:13:02,無
5901013200,專品南京藥局,臺北市松山區南京東路４段７３號,121.5532,25.05185,(02)25147685,羅氏家用新冠病毒抗原自我檢測套組,209,2022/10/25 10:13:02,無
5901013308,立赫敦北藥局,臺北市松山區敦化北路２２２巷２０號,121.5477,25.05945,(02)27199277,羅氏家用新冠病毒抗原自我檢測套組,59,2022/10/25 10:13:02,10／8及10／9營業時間為12:00-20:00
5901013362,啄木鳥藥局,臺北市松山區八德路４段２０９號、２１１號（１、２層）,121.564,25.04894,(02)27422413,羅氏家用新冠病毒抗原自我檢測套組,316,2022/10/25 10:13:02,每日早上10點開始販售實名制快篩
5901013371,玖田藥局,臺北市松山區八德路４段６５５號,121.5755,25.05018,(02)27666578,羅氏家用新冠病毒抗原自我檢測套組,10,2022/10/25 10:13:02,Line：@ahh3248m
5901013380,澄馨藥局,臺北市松山區三民路３７號,121.5635,25.0558,(02)27420159,羅氏家用新冠病毒抗原自我檢測套組,241,2022/10/25 10:13:02,無
5901013399,一安正昇藥局,臺北市松山區南京東路５段３０９號,121.5667,25.05155,(02)27680993,羅氏家用新冠病毒抗原自我檢測套組,91,2022/10/25 10:13:02,無
5901013451,新德大藥局,臺北市松山區饒河街２０４號,121.577,25.05074,(02)27673402,羅氏家用新冠病毒抗原自我檢測套組,153,2022/10/25 10:13:02,周一至周六上午九點開賣；快篩實名制（周日休息）
5901013504,杏一台北長庚藥局,臺北市松山區敦化北路１９９巷２弄３號,121.55,25.05569,(02)25149463,羅氏家用新冠病毒抗原自我檢測套組,186,2022/10/25 10:13:02,無
5901013513,立赫民生藥局,臺北市松山區民生東路４段７２號,121.5524,25.05787,(02)27139200,羅氏家用新冠病毒抗原自我檢測套組,403,2022/10/25 10:13:02,週一至週六上午09:30開始販售實名制快篩；週日中午12:00開始販售
